Director,Client,Title,Thumbnail,Video
Kyra Bartley,Tourism Tasmania,Tourism Tas,directors/kyra_bartley/1. Tourism Tas Still.png,directors/kyra_bartley/1. TourismTas.mp4
Kyra Bartley,Westfield,Aunties,directors/kyra_bartley/2. Westfield Still.png,directors/kyra_bartley/2. Westfield_Aunties.mp4
Kyra Bartley,Pirtek,Tug,directors/kyra_bartley/3. Pirtek Still.png,directors/kyra_bartley/3. Pirtek_Tug.mp4
Kyra Bartley,PostFinance,PostFinance,directors/kyra_bartley/4. Postfinance Still.png,directors/kyra_bartley/4. Postfinance.mp4
Kyra Bartley,UNHCR,UNHCR,directors/kyra_bartley/5. UNHCR Still.png,directors/kyra_bartley/5. UNHCR.mp4
Kyra Bartley,Vodafone,Vodafone,directors/kyra_bartley/6. Vodafone Still.png,directors/kyra_bartley/6. Vodafone.mp4
Kyra Bartley,Fiji Tourism,Fiji Tourism,directors/kyra_bartley/7. FijiTourism Still.png,directors/kyra_bartley/7. FijiTourism.mp4
Kyra Bartley,Modibodi,Shark Week,directors/kyra_bartley/8. Modibodi Still.png,directors/kyra_bartley/8. ModiBodi_SharkWeek.mp4
Kyra Bartley,Google,AFL,directors/kyra_bartley/9. Google Still.png,directors/kyra_bartley/9. GoogleAFL.mp4
Kyra Bartley,Frankie4,Frankie4,directors/kyra_bartley/10. Frankie4 Still.png,directors/kyra_bartley/10. Frankie4.mp4

